date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2019-04-17 00:00:00+00:00,2019,4,17,port1282,Tema,Ghana,GHA,0,0,1,0,0,1,1,0,0,3430,0,0,3430,3430,0,0,0,0,0,0,0
2019-04-18 00:00:00+00:00,2019,4,18,port1282,Tema,Ghana,GHA,3,0,0,1,1,4,5,15221,0,0,1146,17301,16368,33669,1440,0,0,25,0,1465,1465
2019-04-19 00:00:00+00:00,2019,4,19,port1282,Tema,Ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-20 00:00:00+00:00,2019,4,20,port1282,Tema,Ghana,GHA,1,1,0,2,1,4,5,6393,28829,0,0,9380,35223,44603,0,0,0,0,0,0,0
2019-04-21 00:00:00+00:00,2019,4,21,port1282,Tema,Ghana,GHA,1,3,0,0,0,4,4,11554,84063,0,0,0,95617,95617,0,0,0,0,0,0,0
2019-04-22 00:00:00+00:00,2019,4,22,port1282,Tema,Ghana,GHA,1,0,0,1,2,2,4,6257,0,0,1541,4085,7799,11884,0,0,0,0,2612,0,2612
2019-04-23 00:00:00+00:00,2019,4,23,port1282,Tema,Ghana,GHA,2,0,0,0,0,2,2,434,0,0,0,0,434,434,4490,0,0,0,0,4490,4490
2019-04-24 00:00:00+00:00,2019,4,24,port1282,Tema,Ghana,GHA,3,1,0,0,0,4,4,10173,0,0,0,0,10173,10173,1440,0,0,0,0,1440,1440
2019-04-25 00:00:00+00:00,2019,4,25,port1282,Tema,Ghana,GHA,2,2,0,0,1,4,5,15032,40348,0,0,3992,55381,59374,0,0,0,0,0,0,0
2019-04-26 00:00:00+00:00,2019,4,26,port1282,Tema,Ghana,GHA,0,1,0,0,0,1,1,0,9099,0,0,0,9099,9099,0,0,0,0,0,0,0
